term,comparison,estimate,conf.low,conf.high,adj.p.value
tile_type,Bioglass-Arag,-5.7470000000000425,-7.747815641224129,-3.7461843587759565,2.554623179662485e-13
tile_type,Dol-Arag,-8.859333333333296,-10.860148974557383,-6.85851769210921,1.6830981053317373e-13
tile_type,Dol/Str-Arag,-0.7570476190476256,-2.7932786759168176,1.2791834378215663,0.9633719422967898
tile_type,Glass Fiber-Arag,-12.812333333333328,-14.813148974557414,-10.811517692109241,1.6830981053317373e-13
tile_type,PDMS-Arag,-88.68200000000006,-90.68281564122414,-86.68118435877598,1.6830981053317373e-13
tile_type,Plain-Arag,-5.328666666666663,-7.32948230789075,-3.3278510254425773,4.2998937743732313e-13
tile_type,Quartz-Arag,-1.578000000000003,-3.578815641224089,0.4228156412240831,0.2530720429082196
tile_type,Str-Arag,-8.546666666666681,-10.547482307890768,-6.545851025442595,1.6830981053317373e-13
tile_type,Dol-Bioglass,-3.112333333333254,-5.11314897455734,-1.1115176921091678,6.868402191329004e-5
tile_type,Dol/Str-Bioglass,4.989952380952417,2.953721324083225,7.026183437821609,1.3111289831613249e-11
tile_type,Glass Fiber-Bioglass,-7.065333333333285,-9.066148974557372,-5.064517692109199,2.1727064591914313e-13
tile_type,PDMS-Bioglass,-82.93500000000002,-84.9358156412241,-80.93418435877594,1.6830981053317373e-13
tile_type,Plain-Bioglass,0.4183333333333792,-1.5824823078907069,2.4191489745574652,0.9992418252569533
tile_type,Quartz-Bioglass,4.16900000000004,2.1681843587759535,6.169815641224126,1.3272982379852749e-8
tile_type,Str-Bioglass,-2.7996666666666385,-4.800482307890725,-0.7988510254425525,5.84161962977281e-4
tile_type,Dol/Str-Dol,8.10228571428567,6.066054657416479,10.138516771154862,1.6908696665041134e-13
tile_type,Glass Fiber-Dol,-3.9530000000000314,-5.953815641224118,-1.9521843587759453,8.846188837008384e-8
tile_type,PDMS-Dol,-79.82266666666676,-81.82348230789084,-77.82185102544268,1.6830981053317373e-13
tile_type,Plain-Dol,3.530666666666633,1.529851025442547,5.53148230789072,2.9177388365386747e-6
tile_type,Quartz-Dol,7.2813333333332935,5.280517692109207,9.28214897455738,1.944000516118649e-13
tile_type,Str-Dol,0.31266666666661536,-1.6881489745574707,2.3134823078907014,0.9999138126155116
tile_type,Glass Fiber-Dol/Str,-12.055285714285702,-14.091516771154893,-10.019054657416511,1.6830981053317373e-13
tile_type,PDMS-Dol/Str,-87.92495238095243,-89.96118343782163,-85.88872132408324,1.6830981053317373e-13
tile_type,Plain-Dol/Str,-4.571619047619038,-6.60785010448823,-2.5353879907498458,6.850160438887087e-10
tile_type,Quartz-Dol/Str,-0.8209523809523773,-2.8571834378215692,1.2152786759168146,0.9414384356253358
tile_type,Str-Dol/Str,-7.789619047619055,-9.825850104488246,-5.7533879907498635,1.7263968032921184e-13
tile_type,PDMS-Glass Fiber,-75.86966666666673,-77.87048230789081,-73.86885102544265,1.6830981053317373e-13
tile_type,Plain-Glass Fiber,7.4836666666666645,5.482851025442578,9.484482307890751,1.7896795156957523e-13
tile_type,Quartz-Glass Fiber,11.234333333333325,9.233517692109238,13.235148974557411,1.6830981053317373e-13
tile_type,Str-Glass Fiber,4.265666666666647,2.2648510254425607,6.266482307890733,5.553433823912712e-9
tile_type,Plain-PDMS,83.3533333333334,81.35251769210932,85.35414897455748,1.6830981053317373e-13
tile_type,Quartz-PDMS,87.10400000000006,85.10318435877598,89.10481564122414,1.6830981053317373e-13
tile_type,Str-PDMS,80.13533333333338,78.1345176921093,82.13614897455746,1.6830981053317373e-13
tile_type,Quartz-Plain,3.7506666666666604,1.7498510254425743,5.751482307890747,4.89717631668718e-7
tile_type,Str-Plain,-3.2180000000000177,-5.218815641224104,-1.2171843587759317,3.188625069139306e-5
tile_type,Str-Quartz,-6.968666666666678,-8.969482307890765,-4.967851025442592,2.248201624865942e-13
