measurement,term,comparison,estimate,conf.low,conf.high,adj.p.value
surfaceAreaRatio,tile_type,Plain-Ceramic,-0.32881333333333296,-0.6940435341885584,0.03641686752189244,0.0972330671543562
surfaceAreaRatio,tile_type,Quartz-Ceramic,0.024070000000000036,-0.34116020085522536,0.38930020085522543,0.9999995764525517
surfaceAreaRatio,tile_type,Str-Ceramic,-0.3994433333333334,-0.7646735341885588,-0.03421313247810798,0.026029544824847983
surfaceAreaRatio,tile_type,Dol/Str-Dol,0.03472666666666657,-0.3305035341885588,0.39995686752189197,0.9999925633402525
surfaceAreaRatio,tile_type,Glass Fiber-Dol,-0.0076466666666665795,-0.372876867521892,0.3575835341885588,0.9999999999535669
surfaceAreaRatio,tile_type,Plain-Dol,0.15879333333333379,-0.2064368675218916,0.5240235341885592,0.8308963845392963
surfaceAreaRatio,tile_type,Quartz-Dol,0.5116766666666668,0.14644646581144138,0.8769068675218922,0.0028313678033734524
surfaceAreaRatio,tile_type,Str-Dol,0.08816333333333337,-0.277066867521892,0.45339353418855877,0.9933651969384184
surfaceAreaRatio,tile_type,Glass Fiber-Dol/Str,-0.04237333333333315,-0.40760353418855855,0.32285686752189224,0.9999656605264665
surfaceAreaRatio,tile_type,Plain-Dol/Str,0.12406666666666721,-0.24116353418855818,0.4892968675218926,0.9486120904649785
surfaceAreaRatio,tile_type,Quartz-Dol/Str,0.4769500000000002,0.11171979914477481,0.8421802008552256,0.005648156086617395
surfaceAreaRatio,tile_type,Str-Dol/Str,0.0534366666666668,-0.3117935341885586,0.4186668675218922,0.9998032728856829
surfaceAreaRatio,tile_type,Plain-Glass Fiber,0.16644000000000037,-0.19879020085522503,0.5316702008552258,0.7948452282417547
surfaceAreaRatio,tile_type,Quartz-Glass Fiber,0.5193233333333334,0.15409313247810796,0.8845535341885588,0.0024326973120630813
surfaceAreaRatio,tile_type,Str-Glass Fiber,0.09580999999999995,-0.26942020085522544,0.46104020085522535,0.9886959351378904
surfaceAreaRatio,tile_type,Quartz-Plain,0.352883333333333,-0.012346867521892402,0.7181135341885584,0.06290568788374118
surfaceAreaRatio,tile_type,Str-Plain,-0.07063000000000041,-0.4358602008552258,0.294600200855225,0.9985236421935832
surfaceAreaRatio,tile_type,Str-Quartz,-0.4235133333333334,-0.7887435341885588,-0.05828313247810801,0.016273546882162315
