measurement,term,comparison,estimate,conf.low,conf.high,adj.p.value
roughness,tile_type,Bioglass-Arag,-0.9493333333333331,-3.1383765026632267,1.2397098359965604,0.8327036792125267
roughness,tile_type,Ceramic-Arag,3.774666666666667,1.5856234973367735,5.963709835996561,2.82030334084471e-4
roughness,tile_type,Dol-Arag,-0.32433333333333314,-2.5133765026632267,1.8647098359965604,0.999784064777032
roughness,tile_type,Dol/Str-Arag,-0.5629999999999997,-2.7520431693298932,1.6260431693298938,0.9900237209786419
roughness,tile_type,Glass Fiber-Arag,-0.6693333333333329,-2.8583765026632264,1.5197098359965606,0.9714537759904338
roughness,tile_type,Plain-Arag,-0.30766666666666653,-2.49670983599656,1.881376502663227,0.9998540568192522
roughness,tile_type,Quartz-Arag,0.8776666666666664,-1.3113765026632271,3.06670983599656,0.8819515472918091
roughness,tile_type,Str-Arag,-0.2776666666666663,-2.46670983599656,1.9113765026632272,0.9999324233727814
roughness,tile_type,Ceramic-Bioglass,4.724,2.5349568306701067,6.913043169329894,1.5668629339549156e-5
roughness,tile_type,Dol-Bioglass,0.625,-1.5640431693298935,2.8140431693298935,0.9809560345292219
roughness,tile_type,Dol/Str-Bioglass,0.3863333333333334,-1.80270983599656,2.575376502663227,0.9992277191485773
roughness,tile_type,Glass Fiber-Bioglass,0.28000000000000025,-1.9090431693298933,2.4690431693298938,0.9999280170947162
roughness,tile_type,Plain-Bioglass,0.6416666666666666,-1.547376502663227,2.83070983599656,0.9777105653918314
roughness,tile_type,Quartz-Bioglass,1.8269999999999995,-0.362043169329894,4.016043169329893,0.14709545942340785
roughness,tile_type,Str-Bioglass,0.6716666666666669,-1.5173765026632267,2.8607098359965604,0.9708738191255961
roughness,tile_type,Dol-Ceramic,-4.099,-6.288043169329894,-1.9099568306701067,1.0193798914792662e-4
roughness,tile_type,Dol/Str-Ceramic,-4.337666666666667,-6.526709835996561,-2.1486234973367737,4.915848653797017e-5
roughness,tile_type,Glass Fiber-Ceramic,-4.444,-6.633043169329893,-2.2549568306701064,3.571996899032204e-5
roughness,tile_type,Plain-Ceramic,-4.082333333333334,-6.271376502663227,-1.89329016400344,1.0733236333815288e-4
roughness,tile_type,Quartz-Ceramic,-2.8970000000000007,-5.086043169329894,-0.7079568306701072,0.004972993825620664
roughness,tile_type,Str-Ceramic,-4.052333333333333,-6.241376502663227,-1.8632901640034398,1.1779584454130188e-4
roughness,tile_type,Dol/Str-Dol,-0.23866666666666658,-2.42770983599656,1.950376502663227,0.9999786463612825
roughness,tile_type,Glass Fiber-Dol,-0.34499999999999975,-2.5340431693298933,1.8440431693298938,0.9996597697736429
roughness,tile_type,Plain-Dol,0.016666666666666607,-2.172376502663227,2.20570983599656,1
